paragraph_id,phrase_idx,syllable_idx,global_syllable_idx,syllable,phone_idx,phone,phone_role,viseme_id,start_frame,end_frame,start_time_ms,end_time_ms,duration_weight,raw_viseme_id,source
P002,12,24,240,neng,1,sapi_viseme_4,tts_viseme,4,1644,1645,65760,65800,2,4,tts_viseme
P002,12,24,240,neng,2,sapi_viseme_6,tts_viseme,5,1646,1648,65840,65920,3,6,tts_viseme
P002,12,25,241,li,0,sapi_viseme_6,tts_viseme,5,1648,1651,65920,66040,4,6,tts_viseme
P002,12,25,241,li,1,sapi_viseme_19,tts_viseme,2,1651,1654,66040,66160,4,19,tts_viseme
P002,12,25,241,li,2,sapi_viseme_16,tts_viseme,2,1655,1656,66200,66240,2,16,tts_viseme
P002,12,25,241,li,3,sapi_viseme_7,tts_viseme,3,1655,1659,66200,66360,5,7,tts_viseme
P002,12,25,241,li,4,sapi_viseme_4,tts_viseme,4,1659,1660,66360,66400,2,4,tts_viseme
P002,12,25,241,li,5,sapi_viseme_4,tts_viseme,4,1660,1662,66400,66480,3,4,tts_viseme
P002,12,25,241,li,6,sapi_viseme_19,tts_viseme,2,1663,1663,66520,66520,1.0,19,tts_viseme
P002,12,25,241,li,7,sapi_viseme_7,tts_viseme,3,1663,1664,66520,66560,2,7,tts_viseme
P002,12,25,241,li,8,sapi_viseme_7,tts_viseme,3,1664,1667,66560,66680,4,7,tts_viseme
P002,12,25,241,li,9,sapi_viseme_20,tts_viseme,4,1667,1670,66680,66800,4,20,tts_viseme
P002,12,25,241,li,10,sapi_viseme_21,tts_viseme,0,1670,1671,66800,66840,2,21,tts_viseme
P002,12,25,241,li,11,sapi_viseme_6,tts_viseme,5,1670,1673,66800,66920,4,6,tts_viseme
P002,12,25,241,li,12,sapi_viseme_2,tts_viseme,7,1673,1675,66920,67000,3,2,tts_viseme
P002,12,25,241,li,13,sapi_viseme_19,tts_viseme,2,1676,1678,67040,67120,3,19,tts_viseme
P002,12,25,241,li,14,sapi_viseme_21,tts_viseme,0,1679,1679,67160,67160,1.0,21,tts_viseme
P002,12,25,241,li,15,sapi_viseme_7,tts_viseme,3,1679,1680,67160,67200,2,7,tts_viseme
P002,12,25,241,li,16,sapi_viseme_7,tts_viseme,3,1680,1681,67200,67240,2,7,tts_viseme
P002,12,25,241,li,17,sapi_viseme_7,tts_viseme,3,1682,1683,67280,67320,2,7,tts_viseme
P002,12,25,241,li,18,sapi_viseme_7,tts_viseme,3,1684,1686,67360,67440,3,7,tts_viseme
P002,12,25,241,li,19,sapi_viseme_1,tts_viseme,4,1686,1687,67440,67480,2,1,tts_viseme
P002,12,25,241,li,20,sapi_viseme_19,tts_viseme,2,1688,1690,67520,67600,3,19,tts_viseme
P002,12,25,241,li,21,sapi_viseme_19,tts_viseme,2,1691,1691,67640,67640,1.0,19,tts_viseme
P002,12,25,241,li,22,sapi_viseme_7,tts_viseme,3,1691,1692,67640,67680,2,7,tts_viseme
P002,12,25,241,li,23,sapi_viseme_7,tts_viseme,3,1693,1695,67720,67800,3,7,tts_viseme
P002,12,25,241,li,24,sapi_viseme_20,tts_viseme,4,1695,1698,67800,67920,4,20,tts_viseme
P002,12,25,241,li,25,sapi_viseme_15,tts_viseme,5,1699,1702,67960,68080,4,15,tts_viseme
P002,12,25,241,li,26,sapi_viseme_1,tts_viseme,4,1703,1704,68120,68160,2,1,tts_viseme
P002,12,25,241,li,27,sapi_viseme_20,tts_viseme,4,1705,1707,68200,68280,3,20,tts_viseme
P002,12,25,241,li,28,sapi_viseme_19,tts_viseme,2,1707,1708,68280,68320,2,19,tts_viseme
P002,12,25,241,li,29,sapi_viseme_15,tts_viseme,5,1707,1710,68280,68400,4,15,tts_viseme
P002,12,25,241,li,30,sapi_viseme_1,tts_viseme,4,1710,1715,68400,68600,6,1,tts_viseme
P002,12,25,241,li,31,sapi_viseme_20,tts_viseme,4,1715,1719,68600,68760,5,20,tts_viseme
P002,12,25,241,li,32,sapi_viseme_20,tts_viseme,4,1749,1751,69960,70040,3,20,tts_viseme
P002,12,25,241,li,33,sapi_viseme_2,tts_viseme,7,1751,1753,70040,70120,3,2,tts_viseme
P002,12,25,241,li,34,sapi_viseme_4,tts_viseme,4,1753,1755,70120,70200,3,4,tts_viseme
P002,12,25,241,li,35,sapi_viseme_18,tts_viseme,1,1755,1757,70200,70280,3,18,tts_viseme
P002,12,25,241,li,36,sapi_viseme_2,tts_viseme,7,1758,1760,70320,70400,3,2,tts_viseme
P002,12,25,241,li,37,sapi_viseme_20,tts_viseme,4,1760,1763,70400,70520,4,20,tts_viseme
P002,12,25,241,li,38,sapi_viseme_18,tts_viseme,1,1763,1765,70520,70600,3,18,tts_viseme
P002,12,25,241,li,39,sapi_viseme_2,tts_viseme,7,1765,1768,70600,70720,4,2,tts_viseme
P002,12,25,241,li,40,sapi_viseme_2,tts_viseme,7,1769,1772,70760,70880,4,2,tts_viseme
P002,12,25,241,li,41,sapi_viseme_15,tts_viseme,5,1773,1776,70920,71040,4,15,tts_viseme
P002,12,25,241,li,42,sapi_viseme_2,tts_viseme,7,1776,1777,71040,71080,2,2,tts_viseme
P002,12,25,241,li,43,sapi_viseme_4,tts_viseme,4,1778,1780,71120,71200,3,4,tts_viseme
P002,12,25,241,li,44,sapi_viseme_19,tts_viseme,2,1780,1782,71200,71280,3,19,tts_viseme
P002,12,25,241,li,45,sapi_viseme_2,tts_viseme,7,1782,1784,71280,71360,3,2,tts_viseme
P002,12,25,241,li,46,sapi_viseme_19,tts_viseme,2,1785,1787,71400,71480,3,19,tts_viseme
P002,12,25,241,li,47,sapi_viseme_20,tts_viseme,4,1788,1789,71520,71560,2,20,tts_viseme
P002,12,25,241,li,48,sapi_viseme_7,tts_viseme,3,1788,1790,71520,71600,3,7,tts_viseme
P002,12,25,241,li,49,sapi_viseme_2,tts_viseme,7,1791,1793,71640,71720,3,2,tts_viseme
P002,12,25,241,li,50,sapi_viseme_4,tts_viseme,4,1794,1843,71760,73720,50,4,tts_viseme
P002,12,25,241,li,51,sapi_viseme_15,tts_viseme,5,1843,1847,73720,73880,5,15,tts_viseme
P002,12,25,241,li,52,sapi_viseme_6,tts_viseme,5,1848,1849,73920,73960,2,6,tts_viseme
P002,12,25,241,li,53,sapi_viseme_6,tts_viseme,5,1849,1851,73960,74040,3,6,tts_viseme
P002,12,25,241,li,54,sapi_viseme_16,tts_viseme,2,1851,1852,74040,74080,2,16,tts_viseme
P002,12,25,241,li,55,sapi_viseme_6,tts_viseme,5,1851,1854,74040,74160,4,6,tts_viseme
P002,12,25,241,li,56,sapi_viseme_2,tts_viseme,7,1854,1856,74160,74240,3,2,tts_viseme
P002,12,25,241,li,57,sapi_viseme_19,tts_viseme,2,1856,1859,74240,74360,4,19,tts_viseme
P002,12,25,241,li,58,sapi_viseme_14,tts_viseme,2,1859,1860,74360,74400,2,14,tts_viseme
P002,12,25,241,li,59,sapi_viseme_6,tts_viseme,5,1859,1861,74360,74440,3,6,tts_viseme
P002,12,25,241,li,60,sapi_viseme_1,tts_viseme,4,1862,1863,74480,74520,2,1,tts_viseme
P002,12,25,241,li,61,sapi_viseme_20,tts_viseme,4,1864,1866,74560,74640,3,20,tts_viseme
P002,12,25,241,li,62,sapi_viseme_16,tts_viseme,2,1867,1867,74680,74680,1.0,16,tts_viseme
P002,12,25,241,li,63,sapi_viseme_6,tts_viseme,5,1867,1869,74680,74760,3,6,tts_viseme
P002,12,25,241,li,64,sapi_viseme_8,tts_viseme,6,1869,1871,74760,74840,3,8,tts_viseme
P002,12,25,241,li,65,sapi_viseme_7,tts_viseme,3,1872,1873,74880,74920,2,7,tts_viseme
P002,12,25,241,li,66,sapi_viseme_15,tts_viseme,5,1874,1877,74960,75080,4,15,tts_viseme
P002,12,25,241,li,67,sapi_viseme_6,tts_viseme,5,1878,1881,75120,75240,4,6,tts_viseme
P002,12,25,241,li,68,sapi_viseme_6,tts_viseme,5,1882,1884,75280,75360,3,6,tts_viseme
P002,12,25,241,li,69,sapi_viseme_16,tts_viseme,2,1884,1885,75360,75400,2,16,tts_viseme
P002,12,25,241,li,70,sapi_viseme_6,tts_viseme,5,1884,1887,75360,75480,4,6,tts_viseme
P002,12,25,241,li,71,sapi_viseme_2,tts_viseme,7,1888,1890,75520,75600,3,2,tts_viseme
P002,12,25,241,li,72,sapi_viseme_19,tts_viseme,2,1891,1893,75640,75720,3,19,tts_viseme
P002,12,25,241,li,73,sapi_viseme_20,tts_viseme,4,1893,1896,75720,75840,4,20,tts_viseme
P002,12,25,241,li,74,sapi_viseme_2,tts_viseme,7,1896,1898,75840,75920,3,2,tts_viseme
P002,12,25,241,li,75,sapi_viseme_2,tts_viseme,7,1898,1900,75920,76000,3,2,tts_viseme
P002,12,25,241,li,76,sapi_viseme_15,tts_viseme,5,1901,1903,76040,76120,3,15,tts_viseme
P002,12,25,241,li,77,sapi_viseme_2,tts_viseme,7,1903,1906,76120,76240,4,2,tts_viseme
P002,12,25,241,li,78,sapi_viseme_20,tts_viseme,4,1907,1910,76280,76400,4,20,tts_viseme
P002,12,25,241,li,79,sapi_viseme_15,tts_viseme,5,1910,1914,76400,76560,5,15,tts_viseme
P002,12,25,241,li,80,sapi_viseme_6,tts_viseme,5,1915,1916,76600,76640,2,6,tts_viseme
P002,12,25,241,li,81,sapi_viseme_6,tts_viseme,5,1917,1918,76680,76720,2,6,tts_viseme
P002,12,25,241,li,82,sapi_viseme_16,tts_viseme,2,1918,1919,76720,76760,2,16,tts_viseme
P002,12,25,241,li,83,sapi_viseme_6,tts_viseme,5,1918,1921,76720,76840,4,6,tts_viseme
P002,12,25,241,li,84,sapi_viseme_2,tts_viseme,7,1921,1923,76840,76920,3,2,tts_viseme
